,clim_gamma,clim_c1,clim_c2,clim_c3,clim_kappa1,clim_kappa2,clim_kappa3,clim_epsilon,clim_sigma_eta,clim_sigma_xi,clim_F_4xCO2,cc_r0,cc_rU,cc_rT,cc_rA,ari_BC,ari_CH4,ari_N2O,ari_NH3,ari_NOx,ari_OC,ari_Sulfur,ari_VOC,ari_Equivalent effective stratospheric chlorine,aci_shape_so2,aci_shape_bc,aci_shape_oc,aci_beta,o3_CH4,o3_N2O,o3_Equivalent effective stratospheric chlorine,o3_CO,o3_VOC,o3_NOx,fscale_CH4,fscale_N2O,fscale_minorGHG,fscale_Stratospheric water vapour,fscale_Land use,fscale_Volcanic,fscale_solar_amplitude,fscale_solar_trend,fscale_Light absorbing particles on snow and ice,fscale_Contrails,fscale_CO2,cc_co2_concentration_1750,seed
1230,1.7696760730390553,3.6244618751176874,7.990558923582446,351.5935450824212,1.4288120708749823,3.1856282250020787,0.4922038254801419,0.3874056383255021,0.4946086690066986,0.6193789631548945,7.757916776117595,33.97131095982992,0.0051209539066052,0.4862369898734258,0.0010206186055948,0.0149186648932481,-2.355661908758818e-06,-1.113509481548876e-05,-0.0007158702962825,-1.5439444901754122e-05,-0.0050625862790399,-0.0024357773443588,-2.8874275193859747e-05,-1.26468616031791e-05,0.0033193237071353,0.0373050621068436,0.0129589332539422,-1.9724921439357408,0.0002346856649024,0.00117365720693,-0.0001423224944504,0.0001811739536039,6.137577704165297e-05,-0.0002760183319931,0.9802760975735756,1.0737787728793071,1.0372959783361453,1.51061475901408,0.7860746602869038,0.9376778486643365,0.4602036217926321,-0.0162560287478473,1.6865138334515617,1.405533174111924,0.9876131702035748,277.6254501067037,1846533
1715,2.1431424402524653,4.889789301316415,21.81347457418383,101.91761697325347,1.9701732866993864,1.0711245575217885,1.3286551328008245,1.465389552916607,0.394018516219944,0.3675519141839513,7.475648793019037,30.72668071220408,0.0050440355325258,2.388183675071101,0.0016880035968135,0.0368032432801328,-1.19154910107017e-06,-1.9269530893248557e-05,-0.0003528988238645,-4.799902424765224e-06,-0.0026694606430316,-0.0039747447684704,-9.186250422242924e-06,-4.837909194235156e-06,0.0180415482802095,0.0136959448824749,0.1029771391971157,-0.0834526045019969,0.0002090762388402,0.0015189065684022,-5.0540194031329903e-05,8.288987843798758e-05,-7.30950428468771e-05,0.001068259035952,0.833205666103971,1.1104099748703942,1.213769269023979,0.876840340802435,1.1880712856914457,1.03895798729727,0.3435480820284898,-0.0565017262253164,1.043790125912233,0.7035009609326962,0.9681172893348502,279.90913992254536,2040048
2658,4.177348575129563,5.204886016606213,20.99893565598211,21.085816420870245,0.7979202466178608,2.5266299361366737,1.0000761811510557,1.2518959002252723,0.6531880071134979,0.5478471014470285,8.116965188613753,34.63151983047774,0.003070753110767,3.656169974291307,0.0004668412547116,0.0139445171764259,-7.894722747276418e-07,-4.81827610733607e-05,-0.0004921238553374,-0.0001037233292551,-0.0062771208601624,-0.0044190506878008,-2.376993352669748e-05,-5.809692803772767e-06,0.0235685492299716,0.1617156666328847,0.1041883064700407,-1.1306072261739266,0.0002901136410971,0.0013895479478309,-3.411575702590688e-05,0.000130288716413,-0.0001641077263907,0.001732573150391,0.7773472116751561,0.7896636657433911,0.8999060122962925,0.3832818376070894,0.9148539951445928,0.7441962425424355,0.4588843164832276,-0.0027997046081982,0.5443236506234695,0.8204301554733735,1.0119206414558788,276.8580252565892,2416305
3898,2.0444610930562077,4.592895140196169,14.656268317952636,15.303201610634552,0.6203328545957061,2.83275625152851,1.1549771093355825,2.1600069635024384,0.4613108429914467,0.2600202838309926,7.197699175286777,31.061804301979656,0.0065579084967882,2.7084467189662664,-0.0005238676014567,0.0058494951376353,-5.333837750547293e-07,-3.592231217442362e-05,-0.0001290022164,-0.0001308642837241,-0.0003420237513244,-0.0046434080776499,-1.2319408301652262e-05,-7.534063468906797e-06,0.0182174898158533,0.2675693989790383,0.0449935500896175,-1.1213183106012772,0.0002773219760695,0.0011158965397855,-0.0001600538297611,0.000116696919302,0.0003976714389522,0.0016287267900977,1.067507096004873,0.9502256349919564,1.082335403776173,1.631921452009207,0.8815447018865897,1.0734455784271912,1.0169355992492746,-0.01024317454454,1.2767198041598038,0.7249098740961716,0.9489080384962136,278.8696307475409,2911065
5915,4.812139533897277,4.582715896916447,9.051207335989124,160.76089979329367,0.9448234381852804,1.8201051495243967,1.024776415146878,1.1317480751410376,0.3246050561324062,0.4255711114785431,7.407234337107477,33.82094847874192,0.0022976002348264,2.569687072227767,0.0020220171627335,0.0323119283611491,-3.3989299366754604e-06,-4.420474695037032e-05,-0.0003049283115781,-7.173219119151187e-05,-0.0032299246018177,-0.0036074655530024,-2.0187054119684877e-05,-5.0407449829273145e-06,0.0243819939545519,0.6211382321867251,0.0047610971285545,-0.9355431297469944,0.0002014769464989,0.0016431556724396,-0.0001608712618165,0.0001141001750741,-0.0001571406565973,0.0008605210921252,0.9441560544691864,1.077394151544371,1.0295941849102002,0.763970365704317,0.9086467092002766,1.0144525629141865,0.7130961782144452,0.0108650121125257,1.9161412397213329,0.8104038486564693,0.9635349953637838,278.2366153179592,3715848
6306,5.308920820568677,3.998701922470183,6.955918647932617,138.48154379208762,1.0367502397078348,2.392314723040359,1.1279937234596171,1.2540681572203125,0.9742006266435818,0.5797439539828818,8.386985364190025,30.794356335955825,0.0070377897464224,6.184210070186072,-0.0024620200142779,0.0277283087667854,-2.283064857838298e-06,-7.087341113887015e-05,-0.0007967911221065,-1.7285197241800727e-05,-0.0007837800002913,-0.0039933576832453,-3.134097332784097e-05,-2.2554039640588857e-06,0.0260529724141209,0.4517706462868178,0.0972844586249455,-1.1502237278092484,0.0001724692148633,0.0008682829500201,7.580733751688045e-05,9.733052806204067e-05,-0.0001324809058679,0.0011328530800374,1.1399168541037026,1.1192380244171742,0.9518642001004258,0.2503293789533884,1.307664638631244,0.9408328932794796,1.5108608091765126,-0.0295886469421892,0.6271210819651095,1.5771577929372729,1.0296525449915934,276.6189101524274,3871857
6661,10.303386476907969,5.160333943958664,6.305798857619351,40.82277484916151,0.9918952719044776,4.837424956941176,1.0498299859342926,2.029349432355376,1.23117745613233,0.4665439544099715,9.941018884542446,38.95290914139024,-0.0015659838711022,0.782639162996976,0.0033352466842199,0.0416786061176681,-3.252150477531344e-06,-3.091229326425902e-05,-0.0008283428682586,-5.636230544765583e-05,-0.0028780337433989,-0.0039945368185888,-3.032678962547732e-06,-6.530268570963697e-06,0.035859156637889,1.1255821517024638,0.1284206756930182,-1.3151394262292386,0.0003004995983934,0.0009196049831264,-9.014066481499872e-05,7.234102280415208e-05,-0.0001731411981985,0.0012725739678324,1.064007612260332,0.962780954595694,1.0585510105705898,0.4833359548489025,0.87309602464513,1.189312365972882,1.471141700979842,-0.0835372697166015,1.201789411805152,0.9877773921130416,1.1307784767668994,277.2317410186776,4013502
7996,2.102650654127966,3.270379980367885,40.12152044221139,108.59337449813648,0.9325507995584624,0.9120311737751758,0.8827699383403107,0.7837318164854054,0.4125059605931964,0.1650772924336321,8.397958064289437,38.99020631428946,-0.0026368128796221,1.277817470410518,0.0040045749416332,0.0087541385047032,-3.1090999074655198e-06,-6.560625781164566e-05,-0.0005786341735519,-7.151474184625593e-06,-0.0012409108887182,-0.0022341219062342,-2.5936215372214018e-05,-4.389181998375914e-06,0.0061014508710558,1.0898682921089464,0.0330900154524064,-1.5012661216355254,0.000181396442913,0.0011342933835114,-6.510761924947568e-05,-4.677159921301406e-05,9.700646947017102e-05,0.002073261173592,0.9999343121983304,1.1530108839663324,0.9975040071666644,-0.1785794746288407,1.4380851684434943,0.9154580432106204,0.9883196175931592,-0.0309747332816796,2.304350408364029,1.176349981823397,1.030597447749187,277.3255574355756,4546167
8383,4.2443528352092414,3.350986888532708,8.99248533067891,97.9210074954214,0.9002710396477847,2.5108107750443205,1.257711133136299,1.6985995499837558,1.3849489539851856,0.6437359520608701,7.817904896115666,32.35315544535205,0.0045663361593236,4.319572395471152,-0.0002885455095013,0.0013645275928577,-7.21153821586628e-07,-2.670654657053714e-05,-0.0002202856780526,-9.483885398159075e-05,-0.0034851285459958,-0.0015841237041781,-1.18660088961418e-05,-8.955088897662182e-06,0.0065922460919998,0.1553167680434085,0.0212569745260512,-1.3341068336211723,0.0002162390804843,0.0015607265364023,-7.720646554185454e-05,8.74786461086273e-05,0.0002733674695483,0.0015519813953097,0.8612237120087225,1.1305990638905792,0.9618118138038184,1.007711443008226,1.104836782178936,1.2153171954854225,0.8560112169331189,-0.056623954402016,1.365417779538113,1.4068189764094825,0.9915783734670414,277.0634050859315,4700580
9214,3.595275240356523,4.175174303586031,8.191373289551459,99.4528239660668,1.559638060688131,2.056288033074762,0.8795970753384763,1.2658089251853322,0.5559874721753234,0.5181504042225792,7.740263621983447,31.53973357103071,0.0058539711501114,1.1516121872923608,0.0005549752991011,0.0364555421548685,-1.08091974308356e-06,-3.089964543138516e-05,-0.0011269291452846,-4.102628420566184e-05,-0.0050502546570105,-0.0039565101548421,-3.142497828721337e-05,-1.0630121606798272e-05,0.0250716023583177,0.1165938254292229,0.1023721239133617,-0.5118313873867975,0.0001863559047529,0.0014289265569853,-9.582209229390946e-05,0.0001786019472976,0.0001866120034163,0.0011498158432871,0.9557438326595484,1.1105433052416367,0.7256570845981284,0.6553079386900882,0.9135255915781716,1.1079408937614428,1.1647786456703249,-0.0921169486514111,1.2272757682772413,0.871319195775824,0.9861501162030072,280.7503425279385,5032149
